Current,Voltage,Temperature,SOC,SOC_Estimate
14.7825,3.68391,300,0.541821,0.579855
15.0714,3.97291,300,0.541975,0.579148
15.0988,4.00045,300,0.54213,0.579508
14.9337,3.83553,300,0.542284,0.579964
15.0247,3.92669,300,0.542438,0.579812
15.1674,4.06957,300,0.542593,0.579997
14.9536,3.85594,300,0.542747,0.580701
15.0726,3.97502,300,0.542901,0.580615
15.0077,3.91031,300,0.543056,0.580967
15.0202,3.92298,300,0.54321,0.581079
15.2647,4.1676,300,0.543364,0.581236
15.1456,4.04871,300,0.543519,0.582287
14.9169,3.82014,300,0.543673,0.582893
14.8958,3.79923,300,0.543827,0.582649
14.8615,3.76505,300,0.543981,0.582332
15.0474,3.95106,300,0.544136,0.581897
15.1647,4.06859,300,0.54429,0.582151
14.9353,3.83933,300,0.544444,0.582833
14.9591,3.8633,300,0.544599,0.582667
15.0857,3.99001,300,0.544753,0.582592
15.0693,3.97375,300,0.544907,0.582983
15.0931,3.99773,300,0.545062,0.58331
15.0623,3.96709,300,0.545216,0.583723
14.9913,3.8962,300,0.54537,0.584018
14.9648,3.86985,300,0.545525,0.58405
14.9423,3.84755,300,0.545679,0.583986
15.0017,3.90705,300,0.545833,0.583843
14.9199,3.82547,300,0.545988,0.58392
15.0053,3.91102,300,0.546142,0.5837
14.9424,3.84822,300,0.546296,0.583796
14.8984,3.80438,300,0.546451,0.583663
15.0361,3.94228,300,0.546605,0.583373
15.0843,3.9906,300,0.546759,0.58359
15.2334,4.13987,300,0.546914,0.583981
15.1164,4.02298,300,0.547068,0.584911
14.8721,3.77887,300,0.547222,0.585406
15.0695,3.97639,300,0.547377,0.585001
14.8067,3.71375,300,0.547531,0.585326
14.9786,3.8858,300,0.547685,0.584688
14.9897,3.89711,300,0.54784,0.58469
15.0215,3.92905,300,0.547994,0.584733
15.0627,3.97043,300,0.548148,0.584893
15.0617,3.96958,300,0.548302,0.585201
14.9715,3.87948,300,0.548457,0.585504
15.0709,3.97902,300,0.548611,0.585476
14.9915,3.89984,300,0.548765,0.585811
14.9441,3.85254,300,0.54892,0.585855
14.9824,3.891,300,0.549074,0.585728
14.8124,3.72118,300,0.549228,0.585743
15.0817,3.99066,300,0.549383,0.585144
15.0056,3.91467,300,0.549537,0.585529
15.1277,4.03691,300,0.549691,0.585636
14.9904,3.8998,300,0.549846,0.586183
14.7509,3.66039,300,0.55,0.586229
15.0922,4.00189,300,0.550154,0.585409
14.9985,3.90834,300,0.550309,0.585835
15.1422,4.05219,300,0.550463,0.585919
15.0431,3.95323,300,0.550617,0.586521
14.8846,3.79496,300,0.550772,0.58676
14.897,3.80747,300,0.550926,0.586425
15.043,3.95364,300,0.55108,0.586142
15.0891,3.99985,300,0.551235,0.58639
14.9889,3.89986,300,0.551389,0.586801
14.9877,3.89882,300,0.551543,0.586848
14.9818,3.89306,300,0.551698,0.586892
14.9153,3.82664,300,0.551852,0.586916
15.1105,4.022,300,0.552006,0.586702
14.9509,3.8626,300,0.552161,0.587192
14.9178,3.82963,300,0.552315,0.587105
14.8851,3.79711,300,0.552469,0.586902
15.1066,4.01871,300,0.552623,0.586587
14.948,3.86029,300,0.552778,0.587069
14.9281,3.84056,300,0.552932,0.58698
14.9583,3.87091,300,0.553086,0.586823
14.914,3.82679,300,0.553241,0.586777
14.9674,3.88032,300,0.553395,0.586576
14.9484,3.86148,300,0.553549,0.586568
14.937,3.85022,300,0.553704,0.586495
14.9727,3.88612,300,0.553858,0.586384
15.0818,3.9953,300,0.554012,0.586403
14.8133,3.72704,300,0.554167,0.586808
15.0063,3.92014,300,0.554321,0.586258
14.8632,3.77722,300,0.554475,0.586401
14.6395,3.55364,300,0.55463,0.586037
14.9743,3.88863,300,0.554784,0.584894
15.0735,3.98797,300,0.554938,0.584946
15.094,4.00864,300,0.555093,0.585344
15.0837,3.99846,300,0.555247,0.58581
15.0328,3.94768,300,0.555401,0.586235
14.8716,3.78666,300,0.555556,0.586477
15.1037,4.01889,300,0.55571,0.58615
14.8857,3.80108,300,0.555864,0.586644
14.9701,3.88568,300,0.556019,0.586366
14.9978,3.91352,300,0.556173,0.586391
14.8906,3.80647,300,0.556327,0.586513
14.9534,3.86945,300,0.556481,0.586259
14.885,3.80112,300,0.556636,0.58623
15.2105,4.12686,300,0.55679,0.585963
14.8934,3.80984,300,0.556944,0.586836
14.9852,3.90185,300,0.557099,0.586591
14.9469,3.86368,300,0.557253,0.586673
14.9557,3.87265,300,0.557407,0.58662
14.9637,3.88083,300,0.557562,0.5866
15.0175,3.93474,300,0.557716,0.58661
15.0851,4.00247,300,0.55787,0.586807
14.7924,3.70995,300,0.558025,0.587239
15.0157,3.9334,300,0.558179,0.586644
15.0221,3.94,300,0.558333,0.586838
14.9339,3.85195,300,0.558488,0.587053
14.7858,3.70397,300,0.558642,0.586958
15.1946,4.11289,300,0.558796,0.586351
14.9372,3.85567,300,0.558951,0.587172
15.0776,3.99622,300,0.559105,0.58709
14.9857,3.90447,300,0.559259,0.587499
15.0757,3.99462,300,0.559414,0.587584
14.9633,3.88243,300,0.559568,0.587982
14.9871,3.90635,300,0.559722,0.587984
15.031,3.95043,300,0.559877,0.588071
15.0366,3.95615,300,0.560031,0.58831
15.0638,3.98346,300,0.560185,0.588567
14.9193,3.83915,300,0.56034,0.588917
15.0512,3.97123,300,0.560494,0.588759
14.973,3.89311,300,0.560648,0.589064
14.8297,3.75005,300,0.560802,0.589094
14.9915,3.91192,300,0.560957,0.588625
15.086,4.00658,300,0.561111,0.588728
15.065,3.98574,300,0.561265,0.589159
15.041,3.96193,300,0.56142,0.589514
15.0539,3.975,300,0.561574,0.589781
15.0111,3.93236,300,0.561728,0.590091
15.1268,4.04817,300,0.561883,0.59025
15.1309,4.05241,300,0.562037,0.590812
14.9418,3.86346,300,0.562191,0.591383
14.9273,3.84916,300,0.562346,0.591284
14.9537,3.87572,300,0.5625,0.591139
14.9535,3.87561,300,0.562654,0.59109
14.852,3.7743,300,0.562809,0.591042
